a	ə	[a:ə]
figures	ˈfɪɡjərz	ˈ[f:f|i:ɪ].[g:ɡj|ur:ər|es:z]
figurine	ˌfɪɡjərˈiːn	ˌ[f:f|i:ɪ].[g:ɡj|ur:ər].ˈ[i:iː|ne:n]
figurines	ˌfɪɡjərˈiːnz	ˌ[f:f|i:ɪ].[g:ɡj|ur:ər].ˈ[i:iː|n:n|es:z]
figuring	ˈfɪɡjərɪŋ	ˈ[f:f|i:ɪ].[g:ɡj|ur:ər].[i:ɪ|ng:ŋ]
figurski	fɪˈɡɜːrskiː	[f:f|i:ɪ].ˈ[g:ɡ|ur:ɜːr].[s:s|k:k|i:iː]
fiji	ˈfiːdʒiː	ˈ[f:f|i:iː].[j:dʒ|i:iː]
fiji's	ˈfiːdʒiːz	ˈ[f:f|i:iː].[j:dʒ|i:iː|'s:z]
fijian	ˈfiːdʒiːən	ˈ[f:f|i:iː].[j:dʒ|i:iː].[a:ə|n:n]
fijians	ˈfɪdʒiːənz	ˈ[f:f|i:ɪ].[j:dʒ|i:iː].[a:ə|n:n|s:z]
fike	ˈfaɪk	ˈ[f:f|i:aɪ|ke:k]
fikes	ˈfaɪks	ˈ[f:f|i:aɪ|ke:k|s:s]
fil	ˈfɪl	ˈ[f:f|i:ɪ|l:l]
fila	ˈfaɪlə	ˈ[f:f|i:aɪ].[l:l|a:ə]
filament	ˈfɪləmənt	ˈ[f:f|i:ɪ].[l:l|a:ə].[m:m|e:ə|n:n|t:t]
filaments	ˈfɪləmənts	ˈ[f:f|i:ɪ].[l:l|a:ə].[m:m|e:ə|n:n|t:t|s:s]
filbert	ˈfɪlbərt	ˈ[f:f|i:ɪ|l:l].[b:b|er:ər|t:t]
filbert's	ˈfɪlbərts	ˈ[f:f|i:ɪ|l:l].[b:b|er:ər|t:t|'s:s]
filberts	ˈfɪlbərts	ˈ[f:f|i:ɪ|l:l].[b:b|er:ər|t:t|s:s]
filbrick	ˈfɪlbrɪk	ˈ[f:f|i:ɪ|l:l].[b:b|r:r|i:ɪ|ck:k]
filby	ˈfɪlbiː	ˈ[f:f|i:ɪ|l:l].[b:b|y:iː]
filch	ˈfɪltʃ	ˈ[f:f|i:ɪ|l:l|ch:tʃ]
filched	ˈfɪltʃt	ˈ[f:f|i:ɪ|l:l|ch:tʃ|ed:t]
fildes	ˈfɪldz	ˈ[f:f|i:ɪ|l:l|d:d|es:z]
file	ˈfaɪl	ˈ[f:f|i:aɪ|le:l]
filed	ˈfaɪld	ˈ[f:f|i:aɪ|l:l|ed:d]
filegate	ˈfaɪlˌɡeɪt	ˈ[f:f|i:aɪ|le:l].ˌ[g:ɡ|a:eɪ|te:t]
filename	ˈfaɪlˌneɪm	ˈ[f:f|i:aɪ|le:l].ˌ[n:n|a:eɪ|me:m]
filene	fɪˈliːn	[f:f|i:ɪ].ˈ[l:l|e:iː|ne:n]
filene's	fɪˈliːnz	[f:f|i:ɪ].ˈ[l:l|e:iː|ne:n|'s:z]
filenet	ˈfaɪlˌnet	ˈ[f:f|i:aɪ|le:l].ˌ[n:n|e:e|t:t]
filer	ˈfaɪlər	ˈ[f:f|i:aɪ].[l:l|er:ər]
filers	ˈfaɪlərz	ˈ[f:f|i:aɪ].[l:l|er:ər|s:z]
files	ˈfaɪlz	ˈ[f:f|i:aɪ|l:l|es:z]
filet	fɪˈleɪ	[f:f|i:ɪ].ˈ[l:l|et:eɪ]
filets	fɪˈleɪz	[f:f|i:ɪ].ˈ[l:l|et:eɪ|s:z]
filial	ˈfɪliːəl	ˈ[f:f|i:ɪ].[l:l|i:iː].[a:ə|l:l]
filibuster	ˈfɪləˌbʌstər	ˈ[f:f|i:ɪ].[l:l|i:ə].ˌ[b:b|u:ʌ].[s:s|t:t|er:ər]
filibustered	ˈfɪləˌbʌstərd	ˈ[f:f|i:ɪ].[l:l|i:ə].ˌ[b:b|u:ʌ].[s:s|t:t|er:ər|ed:d]
filibustering	ˈfɪləˌbʌstərɪŋ	ˈ[f:f|i:ɪ].[l:l|i:ə].ˌ[b:b|u:ʌ].[s:s|t:t|er:ər].[i:ɪ|ng:ŋ]
filibusters	ˈfɪləˌbʌstərz	ˈ[f:f|i:ɪ].[l:l|i:ə].ˌ[b:b|u:ʌ].[s:s|t:t|er:ər|s:z]
filice	ˈfiːlɪs	ˈ[f:f|i:iː].[l:l|i:ɪ|ce:s]
filigree	ˈfɪləˌɡriː	ˈ[f:f|i:ɪ].[l:l|i:ə].ˌ[g:ɡ|r:r|ee:iː]
filigrees	ˈfɪləˌɡriːz	ˈ[f:f|i:ɪ].[l:l|i:ə].ˌ[g:ɡ|r:r|ee:iː|s:z]
filing	ˈfaɪlɪŋ	ˈ[f:f|i:aɪ].[l:l|i:ɪ|ng:ŋ]
filings	ˈfaɪlɪŋz	ˈ[f:f|i:aɪ].[l:l|i:ɪ|ng:ŋ|s:z]
filinski	fɪˈlɪnskiː	[f:f|i:ɪ].ˈ[l:l|i:ɪ|n:n].[s:s|k:k|i:iː]
filion	ˈfɪljən	ˈ[f:f|i:ɪ].[l:l|i:j|o:ə|n:n]
filip	ˈfɪlɪp	ˈ[f:f|i:ɪ].[l:l|i:ɪ|p:p]
filipa	fiːˈliːpə	[f:f|i:iː].ˈ[l:l|i:iː].[p:p|a:ə]
filipek	ˈfɪlɪpɪk	ˈ[f:f|i:ɪ].[l:l|i:ɪ].[p:p|e:ɪ|k:k]
filipiak	fɪˈlɪpiːæk	[f:f|i:ɪ].ˈ[l:l|i:ɪ].[p:p|i:iː].[a:æ|k:k]
filipino	ˌfɪləˈpiːnoʊ	ˌ[f:f|i:ɪ].[l:l|i:ə].ˈ[p:p|i:iː].[n:n|o:oʊ]
filipinos	ˌfɪləˈpiːnoʊz	ˌ[f:f|i:ɪ].[l:l|i:ə].ˈ[p:p|i:iː].[n:n|o:oʊ|s:z]
filipkowski	fɪlɪpˈkɔːfskiː	[f:f|i:ɪ].[l:l|i:ɪ|p:p].ˈ[k:k|o:ɔː|w:f].[s:s|k:k|i:iː]
filipovic	fɪlɪˈpoʊvɪk	[f:f|i:ɪ].[l:l|i:ɪ].ˈ[p:p|o:oʊ].[v:v|i:ɪ|c:k]
filipowicz	fɪˈlɪpəvɪtʃ	[f:f|i:ɪ].ˈ[l:l|i:ɪ].[p:p|o:ə].[w:v|i:ɪ|cz:tʃ]
filippelli	fiːliːˈpeliː	[f:f|i:iː].[l:l|i:iː].ˈ[pp:p|e:e].[ll:l|i:iː]
filippello	ˌfiːlɪˈpeloʊ	ˌ[f:f|i:iː].[l:l|i:ɪ].ˈ[pp:p|e:e].[ll:l|o:oʊ]
filippi	fɪˈlɪpiː	[f:f|i:ɪ].ˈ[l:l|i:ɪ].[pp:p|i:iː]
filippini	fiːliːˈpiːniː	[f:f|i:iː].[l:l|i:iː].ˈ[pp:p|i:iː].[n:n|i:iː]
filippo	fɪˈliːpoʊ	[f:f|i:ɪ].ˈ[l:l|i:iː].[pp:p|o:oʊ]
filippone	ˈfɪlɪˌpoʊn	ˈ[f:f|i:ɪ].[l:l|i:ɪ].ˌ[pp:p|o:oʊ|ne:n]
filipski	fɪˈlɪpskiː	[f:f|i:ɪ].ˈ[l:l|i:ɪ|p:p].[s:s|k:k|i:iː]
filkins	ˈfɪlkɪnz	ˈ[f:f|i:ɪ|l:l].[k:k|i:ɪ|n:n|s:z]
fill	ˈfɪl	ˈ[f:f|i:ɪ|ll:l]
fill-a-buster	ˈfɪləˌbʌstər	ˈ[f:f|i:ɪ].[ll-:l|a:ə].ˌ[-b:b|u:ʌ].[s:s|t:t|er:ər]
filla	ˈfɪlə	ˈ[f:f|i:ɪ].[ll:l|a:ə]
fillauer	ˈfɪˌlaʊər	ˈ[f:f|i:ɪ].ˌ[ll:l|au:aʊ].[er:ər]
filled	ˈfɪld	ˈ[f:f|i:ɪ|ll:l|ed:d]
filler	ˈfɪlər	ˈ[f:f|i:ɪ].[ll:l|er:ər]
fillers	ˈfɪlərz	ˈ[f:f|i:ɪ].[ll:l|er:ər|s:z]
fillet	fəˈleɪ	[f:f|i:ə].ˈ[ll:l|et:eɪ]
filleted	ˈfɪlətɪd	ˈ[f:f|i:ɪ].[ll:l|e:ə].[t:t|e:ɪ|d:d]
fillets	ˈfɪlɪts	ˈ[f:f|i:ɪ].[ll:l|e:ɪ|t:t|s:s]
filley	ˈfɪliː	ˈ[f:f|i:ɪ].[ll:l|ey:iː]
fillibuster	ˈfɪləˌbʌstər	ˈ[f:f|i:ɪ].[ll:l|i:ə].ˌ[b:b|u:ʌ].[s:s|t:t|er:ər]
fillibusters	ˈfɪləˌbʌstərz	ˈ[f:f|i:ɪ].[ll:l|i:ə].ˌ[b:b|u:ʌ].[s:s|t:t|er:ər|s:z]
fillies	ˈfɪliːz	ˈ[f:f|i:ɪ].[ll:l|ie:iː|s:z]
filling	ˈfɪlɪŋ	ˈ[f:f|i:ɪ].[ll:l|i:ɪ|ng:ŋ]
fillingame	fiːlɪŋˈɡɑːmiː	[f:f|i:iː].[ll:l|i:ɪ|n:ŋ].ˈ[g:ɡ|a:ɑː].[m:m|e:iː]
fillinger	ˈfɪlɪŋər	ˈ[f:f|i:ɪ].[ll:l|i:ɪ|ng:ŋ].[er:ər]
fillingham	ˈfɪlɪŋˌhæm	ˈ[f:f|i:ɪ].[ll:l|i:ɪ|ng:ŋ].ˌ[h:h|a:æ|m:m]
fillingim	ˈfɪlɪŋɡɪm	ˈ[f:f|i:ɪ].[ll:l|i:ɪ|n:ŋ].[g:ɡ|i:ɪ|m:m]
fillings	ˈfɪlɪŋz	ˈ[f:f|i:ɪ].[ll:l|i:ɪ|ng:ŋ|s:z]
fillion	ˈfɪljən	ˈ[f:f|i:ɪ].[ll:l|i:j|o:ə|n:n]
fillip	ˈfɪləp	ˈ[f:f|i:ɪ].[ll:l|i:ə|p:p]
fillman	ˈfɪlmən	ˈ[f:f|i:ɪ|ll:l].[m:m|a:ə|n:n]
fillmore	ˈfɪlmɔːr	ˈ[f:f|i:ɪ|ll:l].[m:m|o:ɔː|re:r]
fills	ˈfɪlz	ˈ[f:f|i:ɪ|ll:l|s:z]
filly	ˈfɪliː	ˈ[f:f|i:ɪ].[ll:l|y:iː]
film	ˈfɪlm	ˈ[f:f|i:ɪ|l:l|m:m]
film's	ˈfɪlmz	ˈ[f:f|i:ɪ|l:l|m:m|'s:z]
filma	ˈfɪlmə	ˈ[f:f|i:ɪ|l:l].[m:m|a:ə]
filmed	ˈfɪlmd	ˈ[f:f|i:ɪ|l:l|m:m|ed:d]
filmer	ˈfɪlmər	ˈ[f:f|i:ɪ|l:l].[m:m|er:ər]
filming	ˈfɪlmɪŋ	ˈ[f:f|i:ɪ|l:l].[m:m|i:ɪ|ng:ŋ]
filmless	ˈfɪlmləs	ˈ[f:f|i:ɪ|l:l|m:m].[l:l|e:ə|ss:s]
filmmaker	ˈfɪlˌmeɪkər	ˈ[f:f|i:ɪ|l:l].ˌ[mm:m|a:eɪ].[k:k|er:ər]
filmmaker's	ˈfɪlˌmeɪkərz	ˈ[f:f|i:ɪ|l:l].ˌ[mm:m|a:eɪ].[k:k|er:ər|'s:z]
filmmakers	ˈfɪlˌmeɪkərz	ˈ[f:f|i:ɪ|l:l].ˌ[mm:m|a:eɪ].[k:k|er:ər|s:z]
filmmaking	ˈfɪlˌmeɪkɪŋ	ˈ[f:f|i:ɪ|l:l].ˌ[mm:m|a:eɪ].[k:k|i:ɪ|ng:ŋ]
filmore	ˈfɪlˌmɔːr	ˈ[f:f|i:ɪ|l:l].ˌ[m:m|o:ɔː|re:r]
films	ˈfɪlmz	ˈ[f:f|i:ɪ|l:l|m:m|s:z]
filo	ˈfiːloʊ	ˈ[f:f|i:iː].[l:l|o:oʊ]
filofax	ˈfɪloʊˌfæks	ˈ[f:f|i:ɪ].[l:l|o:oʊ].ˌ[f:f|a:æ|x:ks]
filomena	ˌfɪləˈmiːnə	ˌ[f:f|i:ɪ].[l:l|o:ə].ˈ[m:m|e:iː].[n:n|a:ə]
filosa	fiːˈloʊsə	[f:f|i:iː].ˈ[l:l|o:oʊ].[s:s|a:ə]
filsinger	ˈfɪlsɪŋər	ˈ[f:f|i:ɪ|l:l].[s:s|i:ɪ|ng:ŋ].[er:ər]
filson	ˈfɪlsən	ˈ[f:f|i:ɪ|l:l].[s:s|o:ə|n:n]
filter	ˈfɪltər	ˈ[f:f|i:ɪ|l:l].[t:t|er:ər]
filtered	ˈfɪltərd	ˈ[f:f|i:ɪ|l:l].[t:t|er:ər|ed:d]
filtering	ˈfɪltərɪŋ	ˈ[f:f|i:ɪ|l:l].[t:t|er:ər].[i:ɪ|ng:ŋ]
filters	ˈfɪltərz	ˈ[f:f|i:ɪ|l:l].[t:t|er:ər|s:z]
filtertek	ˈfɪltərˌtek	ˈ[f:f|i:ɪ|l:l].[t:t|er:ər].ˌ[t:t|e:e|k:k]
filth	ˈfɪlθ	ˈ[f:f|i:ɪ|l:l|th:θ]
filthy	ˈfɪlθiː	ˈ[f:f|i:ɪ|l:l].[th:θ|y:iː]
filtration	fɪlˈtreɪʃən	[f:f|i:ɪ|l:l].ˈ[t:t|r:r|a:eɪ].[ti:ʃ|o:ə|n:n]
filtrenelli	ˌfɪltrəˈneliː	ˌ[f:f|i:ɪ|l:l].[t:t|r:r|e:ə].ˈ[n:n|e:e].[ll:l|i:iː]
filtrol	ˈfɪltrɑːl	ˈ[f:f|i:ɪ|l:l].[t:t|r:r|o:ɑː|l:l]
filyaw	fɪˈliːɑːv	[f:f|i:ɪ].ˈ[l:l|y:iː].[a:ɑː|w:v]
fima	ˈfiːmə	ˈ[f:f|i:iː].[m:m|a:ə]
fimbres	ˈfɪmbərz	ˈ[f:f|i:ɪ|m:m].[b:b|re:ər|s:z]
fin	ˈfɪn	ˈ[f:f|i:ɪ|n:n]
fina	ˈfaɪnə	ˈ[f:f|i:aɪ].[n:n|a:ə]
finagle	ˈfɪnəɡəl	ˈ[f:f|i:ɪ].[n:n|a:ə].[g:ɡ|le:əl]
finagler	fəˈneɪɡlər	[f:f|i:ə].ˈ[n:n|a:eɪ].[g:ɡ|l:l|er:ər]
final	ˈfaɪnəl	ˈ[f:f|i:aɪ].[n:n|a:ə|l:l]
finalco	fɪˈnælkoʊ	[f:f|i:ɪ].ˈ[n:n|a:æ|l:l].[c:k|o:oʊ]
finale	fəˈnæliː	[f:f|i:ə].ˈ[n:n|a:æ].[l:l|e:iː]
finalist	ˈfaɪnəlɪst	ˈ[f:f|i:aɪ].[n:n|a:ə].[l:l|i:ɪ|s:s|t:t]
finalists	ˈfaɪnəlɪsts	ˈ[f:f|i:aɪ].[n:n|a:ə].[l:l|i:ɪ|s:s|t:t|s:s]
finality	faɪˈnælətiː	[f:f|i:aɪ].ˈ[n:n|a:æ].[l:l|i:ə].[t:t|y:iː]
finalize	ˈfaɪnəˌlaɪz	ˈ[f:f|i:aɪ].[n:n|a:ə].ˌ[l:l|i:aɪ|ze:z]
finalized	ˈfaɪnəˌlaɪzd	ˈ[f:f|i:aɪ].[n:n|a:ə].ˌ[l:l|i:aɪ|ze:z|d:d]
finalizes	ˈfaɪnəˌlaɪzɪz	ˈ[f:f|i:aɪ].[n:n|a:ə].ˌ[l:l|i:aɪ].[z:z|e:ɪ|s:z]
finalizing	ˈfaɪnəˌlaɪzɪŋ	ˈ[f:f|i:aɪ].[n:n|a:ə].ˌ[l:l|i:aɪ].[z:z|i:ɪ|ng:ŋ]
finally	ˈfaɪnəliː	ˈ[f:f|i:aɪ].[n:n|a:ə].[ll:l|y:iː]
finals	ˈfaɪnəlz	ˈ[f:f|i:aɪ].[n:n|a:ə|l:l|s:z]
finamore	ˈfɪnəˌmɔːr	ˈ[f:f|i:ɪ].[n:n|a:ə].ˌ[m:m|o:ɔː|re:r]
finan	ˈfɪnən	ˈ[f:f|i:ɪ].[n:n|a:ə|n:n]
finance	fəˈnæns	[f:f|i:ə].ˈ[n:n|a:æ|n:n|ce:s]
financed	fɪˈnænst	[f:f|i:ɪ].ˈ[n:n|a:æ|n:n|c:s|ed:t]
financement	fɪˈnænsmənt	[f:f|i:ɪ].ˈ[n:n|a:æ|n:n].[ce:s|m:m|e:ə|n:n|t:t]
financer	ˈfaɪˌnænsər	ˈ[f:f|i:aɪ].ˌ[n:n|a:æ|n:n].[c:s|er:ər]
finances	fɪˈnænsɪz	[f:f|i:ɪ].ˈ[n:n|a:æ|n:n].[c:s|e:ɪ|s:z]
financial	fəˈnænʃəl	[f:f|i:ə].ˈ[n:n|a:æ|n:n].[ci:ʃ|a:ə|l:l]
financial's	ˌfaɪˈnænʃəlz	ˌ[f:f|i:aɪ].ˈ[n:n|a:æ|n:n].[ci:ʃ|a:ə|l:l|'s:z]
financially	fəˈnænʃəliː	[f:f|i:ə].ˈ[n:n|a:æ|n:n].[ci:ʃ|a:ə].[ll:l|y:iː]
financials	ˌfaɪˈnænʃəlz	ˌ[f:f|i:aɪ].ˈ[n:n|a:æ|n:n].[ci:ʃ|a:ə|l:l|s:z]
financier	ˌfɪnənˈsiːr	ˌ[f:f|i:ɪ].[n:n|a:ə|n:n].ˈ[c:s|ie:iː|r:r]
financiera	fɪˌnænsiːˈerə	[f:f|i:ɪ].ˌ[n:n|a:æ|n:n].[c:s|i:iː].ˈ[e:e].[r:r|a:ə]
financiere	ˌfɪnænˈsɪr	ˌ[f:f|i:ɪ].[n:n|a:æ|n:n].ˈ[c:s|ie:ɪ|re:r]
financiero	fɪˌnænsiːˈeroʊ	[f:f|i:ɪ].ˌ[n:n|a:æ|n:n].[c:s|i:iː].ˈ[e:e].[r:r|o:oʊ]
financiers	ˌfɪnənˈsɪrz	ˌ[f:f|i:ɪ].[n:n|a:ə|n:n].ˈ[c:s|ie:ɪ|r:r|s:z]
financing	fəˈnænsɪŋ	[f:f|i:ə].ˈ[n:n|a:æ|n:n].[c:s|i:ɪ|ng:ŋ]
financings	fəˈnænsɪŋz	[f:f|i:ə].ˈ[n:n|a:æ|n:n].[c:s|i:ɪ|ng:ŋ|s:z]
financo	fɪˈnæŋkoʊ	[f:f|i:ɪ].ˈ[n:n|a:æ|n:ŋ].[c:k|o:oʊ]
finanz	ˈfɪnænz	ˈ[f:f|i:ɪ].[n:n|a:æ|n:n|z:z]
finanza	fɪˈnænzə	[f:f|i:ɪ].ˈ[n:n|a:æ|n:n].[z:z|a:ə]
finanziaria	fɪˌnænziːˈeriːə	[f:f|i:ɪ].ˌ[n:n|a:æ|n:n].[z:z|i:iː].ˈ[a:e].[r:r|i:iː].[a:ə]
finanziario	fɪˌnænziːˈeriːoʊ	[f:f|i:ɪ].ˌ[n:n|a:æ|n:n].[z:z|i:iː].ˈ[a:e].[r:r|i:iː].[o:oʊ]
finarte	ˈfɪnɑːrt	ˈ[f:f|i:ɪ].[n:n|a:ɑː|r:r|te:t]
finazzo	fiːˈnɑːzoʊ	[f:f|i:iː].ˈ[n:n|a:ɑː].[zz:z|o:oʊ]
finbar	ˈfɪnbɑːr	ˈ[f:f|i:ɪ|n:n].[b:b|a:ɑː|r:r]
finbar's	ˈfɪnbɑːrz	ˈ[f:f|i:ɪ|n:n].[b:b|a:ɑː|r:r|'s:z]
finberg	ˈfɪnbərɡ	ˈ[f:f|i:ɪ|n:n].[b:b|er:ər|g:ɡ]
fincannon	ˈfɪnkənɑːn	ˈ[f:f|i:ɪ|n:n].[c:k|a:ə].[nn:n|o:ɑː|n:n]
finch	ˈfɪntʃ	ˈ[f:f|i:ɪ|n:n|ch:tʃ]
fincham	ˈfɪntʃəm	ˈ[f:f|i:ɪ|n:n].[ch:tʃ|a:ə|m:m]
fincher	ˈfɪntʃər	ˈ[f:f|i:ɪ|n:n].[ch:tʃ|er:ər]
finches	ˈfɪntʃɪz	ˈ[f:f|i:ɪ|n:n].[ch:tʃ|e:ɪ|s:z]
finchum	ˈfɪnkəm	ˈ[f:f|i:ɪ|n:n].[ch:k|u:ə|m:m]
finck	ˈfɪŋk	ˈ[f:f|i:ɪ|n:ŋ|ck:k]
fincke	ˈfɪŋk	ˈ[f:f|i:ɪ|n:ŋ|cke:k]
finckle	ˈfɪŋkəl	ˈ[f:f|i:ɪ|n:ŋ].[ck:k|le:əl]
find	ˈfaɪnd	ˈ[f:f|i:aɪ|n:n|d:d]
finder	ˈfaɪndər	ˈ[f:f|i:aɪ|n:n].[d:d|er:ər]
finder's	ˈfaɪndərz	ˈ[f:f|i:aɪ|n:n].[d:d|er:ər|'s:z]
finders	ˈfaɪndərz	ˈ[f:f|i:aɪ|n:n].[d:d|er:ər|s:z]
finding	ˈfaɪndɪŋ	ˈ[f:f|i:aɪ|n:n].[d:d|i:ɪ|ng:ŋ]
findings	ˈfaɪndɪŋz	ˈ[f:f|i:aɪ|n:n].[d:d|i:ɪ|ng:ŋ|s:z]
findlay	ˈfɪndliː	ˈ[f:f|i:ɪ|n:n|d:d].[l:l|ay:iː]
findler	ˈfɪndlər	ˈ[f:f|i:ɪ|n:n|d:d].[l:l|er:ər]
findley	ˈfɪndliː	ˈ[f:f|i:ɪ|n:n|d:d].[l:l|ey:iː]
findling	ˈfɪndəlɪŋ	ˈ[f:f|i:ɪ|n:n].[d:d|l:əl].[i:ɪ|ng:ŋ]
finds	ˈfaɪndz	ˈ[f:f|i:aɪ|n:n|d:d|s:z]
fine	ˈfaɪn	ˈ[f:f|i:aɪ|ne:n]
fineberg	ˈfaɪnbərɡ	ˈ[f:f|i:aɪ|ne:n].[b:b|er:ər|g:ɡ]
fined	ˈfaɪnd	ˈ[f:f|i:aɪ|n:n|ed:d]
finefrock	ˈfaɪnˌfrɑːk	ˈ[f:f|i:aɪ|ne:n].ˌ[f:f|r:r|o:ɑː|ck:k]
finegan	ˈfɪnɪɡæn	ˈ[f:f|i:ɪ].[n:n|e:ɪ].[g:ɡ|a:æ|n:n]
finegold	ˈfaɪnˌɡoʊld	ˈ[f:f|i:aɪ|ne:n].ˌ[g:ɡ|o:oʊ|l:l|d:d]
finella	fɪˈnelə	[f:f|i:ɪ].ˈ[n:n|e:e].[ll:l|a:ə]
finelli	fɪˈneliː	[f:f|i:ɪ].ˈ[n:n|e:e].[ll:l|i:iː]
finely	ˈfaɪnliː	ˈ[f:f|i:aɪ|ne:n].[l:l|y:iː]
fineman	ˈfaɪnmən	ˈ[f:f|i:aɪ|ne:n].[m:m|a:ə|n:n]
finer	ˈfaɪnər	ˈ[f:f|i:aɪ].[n:n|er:ər]
fineran	ˈfɪnəræn	ˈ[f:f|i:ɪ].[n:n|er:ər].[a:æ|n:n]
finerty	ˈfɪnərtiː	ˈ[f:f|i:ɪ].[n:n|er:ər].[t:t|y:iː]
finery	ˈfaɪnəriː	ˈ[f:f|i:aɪ].[n:n|er:ər].[y:iː]
fines	ˈfaɪnz	ˈ[f:f|i:aɪ|n:n|es:z]
finesse	fɪˈnes	[f:f|i:ɪ].ˈ[n:n|e:e|sse:s]
finessed	fɪˈnest	[f:f|i:ɪ].ˈ[n:n|e:e|ss:s|ed:t]
finest	ˈfaɪnəst	ˈ[f:f|i:aɪ].[n:n|e:ə|s:s|t:t]
finestone	ˈfaɪnˌstoʊn	ˈ[f:f|i:aɪ|ne:n].ˌ[s:s|t:t|o:oʊ|ne:n]
finevest	ˈfaɪnˌvest	ˈ[f:f|i:aɪ|ne:n].ˌ[v:v|e:e|s:s|t:t]
finex	ˈfɪˌneks	ˈ[f:f|i:ɪ].ˌ[n:n|e:e|x:ks]
finfrock	ˈfɪnˌfrɑːk	ˈ[f:f|i:ɪ|n:n].ˌ[f:f|r:r|o:ɑː|ck:k]
finger	ˈfɪŋɡər	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər]
fingerboard	ˈfɪŋɡərˌbɔːrd	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər].ˌ[b:b|oa:ɔː|r:r|d:d]
fingered	ˈfɪŋɡərd	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər|ed:d]
fingerhut	ˈfɪŋɡərˌhʌt	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər].ˌ[h:h|u:ʌ|t:t]
fingering	ˈfɪŋɡərɪŋ	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər].[i:ɪ|ng:ŋ]
fingernail	ˈfɪŋɡərˌneɪl	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər].ˌ[n:n|ai:eɪ|l:l]
fingernails	ˈfɪŋɡərˌneɪlz	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər].ˌ[n:n|ai:eɪ|l:l|s:z]
fingerpaint	ˈfɪŋɡərˌpeɪnt	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər].ˌ[p:p|ai:eɪ|n:n|t:t]
fingerpainted	ˈfɪŋɡərˌpeɪntɪd	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər].ˌ[p:p|ai:eɪ|n:n].[t:t|e:ɪ|d:d]
fingerpointing	ˈfɪŋɡərˌpɔɪntɪŋ	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər].ˌ[p:p|oi:ɔɪ|n:n].[t:t|i:ɪ|ng:ŋ]
fingerprint	ˈfɪŋɡərˌprɪnt	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər].ˌ[p:p|r:r|i:ɪ|n:n|t:t]
fingerprinted	ˈfɪŋɡərˌprɪntɪd	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər].ˌ[p:p|r:r|i:ɪ|n:n].[t:t|e:ɪ|d:d]
fingerprinting	ˈfɪŋɡərˌprɪntɪŋ	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər].ˌ[p:p|r:r|i:ɪ|n:n].[t:t|i:ɪ|ng:ŋ]
fingerprints	ˈfɪŋɡərˌprɪnts	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər].ˌ[p:p|r:r|i:ɪ|n:n|t:t|s:s]
fingers	ˈfɪŋɡərz	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər|s:z]
fingertip	ˈfɪŋɡərˌtɪp	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər].ˌ[t:t|i:ɪ|p:p]
fingertips	ˈfɪŋɡərˌtɪps	ˈ[f:f|i:ɪ|n:ŋ].[g:ɡ|er:ər].ˌ[t:t|i:ɪ|p:p|s:s]
fini	ˈfiːniː	ˈ[f:f|i:iː].[n:n|i:iː]
finian	ˈfɪniːən	ˈ[f:f|i:ɪ].[n:n|i:iː].[a:ə|n:n]
finian's	ˈfɪniːənz	ˈ[f:f|i:ɪ].[n:n|i:iː].[a:ə|n:n|'s:z]
finicky	ˈfɪnəkiː	ˈ[f:f|i:ɪ].[n:n|i:ə].[ck:k|y:iː]
finigan	ˈfɪnɪɡən	ˈ[f:f|i:ɪ].[n:n|i:ɪ].[g:ɡ|a:ə|n:n]
fining	ˈfaɪnɪŋ	ˈ[f:f|i:aɪ].[n:n|i:ɪ|ng:ŋ]
fininvest	ˈfɪˌnɪnˌvest	ˈ[f:f|i:ɪ].ˌ[n:n|i:ɪ|n:n].ˌ[v:v|e:e|s:s|t:t]
fininvest's	ˈfɪˌnɪnˌvests	ˈ[f:f|i:ɪ].ˌ[n:n|i:ɪ|n:n].ˌ[v:v|e:e|s:s|t:t|'s:s]
finish	ˈfɪnɪʃ	ˈ[f:f|i:ɪ].[n:n|i:ɪ|sh:ʃ]
finished	ˈfɪnɪʃt	ˈ[f:f|i:ɪ].[n:n|i:ɪ|sh:ʃ|ed:t]
finisher	ˈfɪnɪʃər	ˈ[f:f|i:ɪ].[n:n|i:ɪ].[sh:ʃ|er:ər]
